epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8413,1.4612,2.49613,1.6419,0.88574,0.09322,0.57811,0.30919,1.342,3.0499,1.71367,0.000545918,0.000545918,0.000545918
2,55.7171,1.41798,1.7088,1.54915,0.46869,0.54122,0.47536,0.22231,1.53488,2.4041,2.09434,0.00106523,0.00106523,0.00106523
3,69.7442,1.42479,1.60759,1.56468,0.44744,0.52754,0.4193,0.17545,1.79256,2.48025,2.203,0.00154787,0.00154787,0.00154787
4,84.9632,1.46009,1.52657,1.56012,0.19631,0.37725,0.10301,0.02957,2.39725,3.65759,3.78326,0.00150197,0.00150197,0.00150197
5,98.8016,1.42824,1.46728,1.55119,0.57829,0.65838,0.5961,0.28107,1.4891,1.91642,1.87111,0.00144696,0.00144696,0.00144696
6,112.669,1.41433,1.42321,1.52682,0.50692,0.56288,0.51795,0.25741,1.6349,2.48588,2.006,0.00139195,0.00139195,0.00139195
7,125.737,1.38715,1.33092,1.50801,0.41087,0.61251,0.53259,0.2563,1.52805,2.11141,1.83565,0.00133693,0.00133693,0.00133693
8,139.014,1.3693,1.28257,1.49778,0.71828,0.75042,0.7635,0.43643,1.41311,1.39659,1.75881,0.00128192,0.00128192,0.00128192
9,153.29,1.37127,1.27518,1.51264,0.8031,0.72443,0.78869,0.49202,1.2853,1.21158,1.63535,0.00122691,0.00122691,0.00122691
10,167.66,1.2774,1.19826,1.44674,0.80163,0.78913,0.86422,0.55125,1.26415,1.13633,1.64013,0.0011719,0.0011719,0.0011719
11,182.081,1.28717,1.15957,1.45542,0.81209,0.75877,0.841,0.51235,1.32377,1.07255,1.6669,0.00111689,0.00111689,0.00111689
12,196.328,1.29808,1.13887,1.45602,0.77594,0.79871,0.83563,0.52678,1.249,1.13316,1.59937,0.00106188,0.00106188,0.00106188
13,210.545,1.25258,1.10276,1.41759,0.88755,0.78632,0.88284,0.57416,1.19046,0.86899,1.56227,0.00100687,0.00100687,0.00100687
14,225.186,1.25132,1.07374,1.41074,0.76274,0.83527,0.84012,0.5206,1.26685,1.01039,1.64538,0.000951857,0.000951857,0.000951857
15,239.32,1.26026,1.07256,1.41917,0.8567,0.81198,0.8799,0.56442,1.21982,0.91843,1.5768,0.000896846,0.000896846,0.000896846
16,253.59,1.26522,1.06763,1.41611,0.82561,0.83009,0.89102,0.56949,1.21706,0.88016,1.58184,0.000841835,0.000841835,0.000841835
17,267.93,1.23826,1.06947,1.41691,0.88103,0.80415,0.89402,0.58279,1.14965,0.87391,1.52022,0.000786824,0.000786824,0.000786824
18,282.703,1.22083,1.05984,1.39546,0.81255,0.84583,0.88162,0.56853,1.20611,0.89242,1.57038,0.000731813,0.000731813,0.000731813
19,296.557,1.18524,0.99469,1.37588,0.84762,0.87665,0.90227,0.60284,1.14506,0.81778,1.54029,0.000676802,0.000676802,0.000676802
20,310.74,1.1793,1.01714,1.3704,0.85102,0.77788,0.86491,0.57673,1.1875,0.85491,1.53321,0.000621791,0.000621791,0.000621791
21,325.495,1.10293,0.95233,1.40766,0.82115,0.85831,0.8869,0.59455,1.13352,0.80793,1.50796,0.00056678,0.00056678,0.00056678
22,337.597,1.06564,0.85575,1.38874,0.85099,0.8404,0.90364,0.61283,1.08829,0.75512,1.46872,0.000511769,0.000511769,0.000511769
23,351.205,1.0555,0.83957,1.37137,0.80427,0.86221,0.89082,0.59869,1.09685,0.78728,1.45924,0.000456758,0.000456758,0.000456758
24,364.388,1.04371,0.81875,1.34168,0.9009,0.81739,0.91822,0.63228,1.09362,0.74868,1.45586,0.000401747,0.000401747,0.000401747
25,378.272,1.02591,0.81778,1.33671,0.85423,0.83895,0.91067,0.6306,1.09029,0.7347,1.45511,0.000346736,0.000346736,0.000346736
26,391.737,1.02321,0.80552,1.33544,0.8633,0.83792,0.90633,0.63017,1.06559,0.73557,1.4374,0.000291725,0.000291725,0.000291725
27,405.141,0.98884,0.76619,1.30672,0.8328,0.8812,0.90727,0.62425,1.08984,0.72499,1.46139,0.000236714,0.000236714,0.000236714
28,418.101,0.99328,0.7488,1.2954,0.89763,0.82639,0.92584,0.64065,1.06528,0.67099,1.43896,0.000181703,0.000181703,0.000181703
29,431.185,0.96911,0.75521,1.31731,0.84768,0.8747,0.92125,0.64603,1.04179,0.66987,1.41841,0.000126692,0.000126692,0.000126692
30,444.087,0.96338,0.71945,1.30879,0.88041,0.83182,0.92518,0.64632,1.04162,0.67237,1.41356,7.1681e-05,7.1681e-05,7.1681e-05
